,text,label
0,बजार ले जसरी ट्रेन्ड चेन्ज गर्यो यो हेर्दा तत्काल प्रोफिट बूकिङ आउने सम्भावना रहेन ! भोलि अर्को ट्रेन्ड समात्न सक्ने अबस्था पनि दरो छ,2
2,"होइन यो सानिमा बैंक ले bonus घोसणा गरेको २ महिना भयो (book close ) अहिले सम्म खातामा आउदैन त , ब्याज संग दिने योजना रहेछ कि क्या हो",2
3,"खैँ MBJC प्रति कित्तामा रू,10/-ले बढेर आज रू,1100/- मात्र भयो 10कित्ताको !",2
5,"मध्यभोटेकोशिको शेयर ,, कर्मचारी संञ्चयकोष का संञ्चयकर्ताहरुको नाममा परेको शेयर कहिले मेरो शेयरमा देखाउँछ होला ????? प्रष्ट पारिदिनु होला ,",2
7,हाईड्रो र फाइनान्स बुम बुम भन्न छोडिएछ त ?,2
8,Profit booking ले यत्रो अङ्कको गिरावट त नआउनु पर्ने। केहि हदसम्म प्यानीक नै देखियो। अझ पनि लगानीकर्ताहरू विश्वस्त देखिएन। फेरि पनि प्यानीक आउने सम्भावना देखियो।,2
9,फेरि भर्चुअल मिटिङ कहिले हुन्छ दाजु हजुर जानकारी गराउनुस् है।,2
10,२५०० क्रस नगर्ने भयो सर.....हाई क्याप वाला सबै घट्यो... हेर्दा हेर्दौ अलि अलि फाइदा भएको पनि लाष्टमा लस नै भयो,2
11,हो ।।।हो सर!,2
12,सगोत्री बन्दु स्वास्थ को ख्याल गर्नु होला।,2
13,यो एनलाइसिस्को एडिक्ट पो भै सकिए छ।नसुनी चितै मान्दैन।,2
14,आज देखि मैले पहिले चोटि secondary बाट कारोबार गरेको आजै 4300 चुना लाग्यो,2
15,Sir ! NTC मा लामो समय लगानीगर्दा कस्तो होला ? बताइ दिनु न ।,2
16,मानौ मैले कुनै कम्पनी बुक क्लोज भन्दा 1 दिनअघि किने र प्राइज एडजस्मेन्ट पछि बोनस प्राप्त नगर्दै  बेचे।  उक्त कम्पनी बेचिसकेपछि मैले बोनस सेयर प्राप्त गर्छु कि गर्दिन ? गरेमा कति समयमा आउँछ?,2
17,"७० करोड घुस प्रकरणमा यसरी रिसाए गोकुल बाँस्कोटा, गगन र विश्वप्रकाशलाई कालापानी जान चुनौति",2
19,"भीम रावलको खुलासा : एमाले छोडेर नयाँ दल खोल्ने, एमसीसी पढ्न देउवालाई आग्रह, पारित गरे दुर्घटना",2
20,राजनीतिक स्वार्थ र लहडमा जथाभावी विमानस्थल बनाउने होड | Galaxy News Report,2
21,"प्रचण्डले खुमलटार छोड्दैः पैदल हिँड्ने, झुपडीमा डेरा सर्ने | Prachanda | Yaksha Prashna",2
22,"दुर्गा प्रसाईको घोषणा : भीम रावलले एमाले छोड्ने, ओली महामानव, देउवा, प्रचण्ड र माधबको भण्डाफोर",2
23,कांग्रेस नेता मिनेन्द्र रिजाललाई यक्ष प्रश्नः सक्रिय राजनीतिबाट विश्राम लिएको हो? Dr. Minendra Rijal,2
24,प्रधानमन्त्रीलाई अब ठूला भ्रष्टाचारको फाईल खोल्न लगाउँछु | AP CENTER | AP1HD,2
26,"MCC BAHAS | एमसिसी: सन्देह, संवाद र समाधान | AP1HD",2
27,प्रचण्डलाई 'यक्ष प्रश्न' - देउवाको ज्योतिषी को ? छबीलाल हो ?,2
